cim	fajta	lap	szakasz	sor	mit
0x00456413	?	picasa-tartalomkulcs.md	51. 7. A KÖVETKEZŐ lépés, megnevezve	933	hét hely: \`0x004386c3\`, \`0x00456413\`, \`0x0047836e\`, \`0x005afb70\`,
0x0045641d	függvény	picasa-tartalomkulcs.md	47. 4. ⭐ A VALÓDI mechanizmus: TULAJDONSÁG-TÁRBA megy, nem mezőbe	868	\| \`keywords\` (\`FUN_00455ff0\`) \| \`0x004563db\` \| \`0x00456406\` \| \`0x00456413 utasítás 0x68\` → \`0x0045641d…
0x00456610	adat	picasa-helyek-panel.md	1. 1. A `geotag=` kulcs alakja — HAT tizedesjegy, mindig	18	\| ini-kulcs \| \`geotag\` \| bináris \`0x00456610\`, \`0x00477ff0\`, \`0x007d55f0\`, \`0x007da570\` \|
0x00456610	?	picasa-ini-format.md	26. A kulcsok KÉT csoportra válnak, külön életciklussal	1135	Az ini-feldolgozó (\`0x00456610\`) egy jelzőbites kapcsolón dönt, és a szakasz
0x00456610	konstans	picasa-ini-format.md	103. A mechanizmus	3199	\| a beolvasás \| az ini-feldolgozó (\`0x00456610\`) hívása **\`flags = 3\`** értékkel \| \`0x00468108\`, a \`push 3\…
0x0045a966	?	00-index.md	31. [pmp-database.md](pmp-database.md) — 1 BLOKKOLT tétel (2026-09-05)	1229	\`0x0043bc8e\` · \`0x0045a966\` · \`0x00481993\` · \`0x0064bea8\` · \`0x006a969f\` ·
0x0045a966	?	pmp-database.md	95. 8.10 ⭐ AZ ELLENŐRZŐÖSSZEG KÉPLETE — MEGVAN	3008	\| literál **\`0\`** \| **10** \| \`0x004245eb\` · \`0x0042f6c0\` · \`0x0042f710\` · \`0x0043bc8e\` · \`0x0045a966\`…
0x0045a9d0	vtábla	00-index.md	3. [ui-audit-editor.md](ui-audit-editor.md) — ✅ nincs nyitott kérdés (a #2061 2026-09-04-én LEZÁRULT; a fejléc 2026-09-05-ig elavult volt)	97	⭐ **2026-09-06 (14.
0x0045a9d0	függvény	picasa-ini-format.md	5. `[Contacts]` / `[Contacts2]` — személyek	83	\| író / olvasó \| \`0x00586e20\` / \`0x00587110\`; az olvasó hívója \`0x0045a9d0\`, egyetlen sztringje \`.picasa.ini…
0x0045a9d0	függvény	picasa-menu-parancsok-viselkedes.md	352. 24.4 HONNAN jönnek a címek — két forrás, mindkettő mérve	5617	az olvasó \`0x00587110\`; az utóbbi hívója a \`0x0045a9d0\`, aminek egyetlen
0x0045c0a0	?	picasa-ini-format.md	119. A KÖZÖS beállító: egy hívás, KÉT tároló	3504	\| \`0x00446176\` \| \`utasítás 0x0045c0a0\` — a **\`.picasa.ini\`** \`date\` kulcsa \|
0x0045c430	?	picasa-export-mappaba.md	1. Az export VÍZJELE — pontos paraméterek (2026-08-27, pontosítva 2026-09-01)	6	\`CPreparedDBImage\` (\`0x007948c0\`) a \`0x0045c430\`-on át.
0x0045c4b0	függvény	picasa-export-mappaba.md	1. Az export VÍZJELE — pontos paraméterek (2026-08-27, pontosítva 2026-09-01)	5	A vízjelet a **\`0x0045c4b0\`** (955 b) rajzolja; hívója a
0x0045c4be	?	picasa-export-mappaba.md	1. Az export VÍZJELE — pontos paraméterek (2026-08-27, pontosítva 2026-09-01)	17	\| **alsó korlát** \| **32 képpontnál alacsonyabb MAGASSÁGÚ** képre nincs vízjel (4-es hibakód) \| \`0x0045c4be\`–\`0…
0x0045c4c4	?	picasa-export-mappaba.md	1. Az export VÍZJELE — pontos paraméterek (2026-08-27, pontosítva 2026-09-01)	17	\| **alsó korlát** \| **32 képpontnál alacsonyabb MAGASSÁGÚ** képre nincs vízjel (4-es hibakód) \| \`0x0045c4be\`–\`0…
0x0045c509	konstans	picasa-export-mappaba.md	1. Az export VÍZJELE — pontos paraméterek (2026-08-27, pontosítva 2026-09-01)	12	\| **betűméret** \| **max(12, max(szélesség, magasság) / 50)** képpont \| \`0x0045c509\` (min=12), \`0x0045c514\` (a…
0x0045c514	konstans	picasa-export-mappaba.md	1. Az export VÍZJELE — pontos paraméterek (2026-08-27, pontosítva 2026-09-01)	12	\| **betűméret** \| **max(12, max(szélesség, magasság) / 50)** képpont \| \`0x0045c509\` (min=12), \`0x0045c514\` (a…
0x0045c516	konstans	picasa-export-mappaba.md	1. Az export VÍZJELE — pontos paraméterek (2026-08-27, pontosítva 2026-09-01)	12	\| **betűméret** \| **max(12, max(szélesség, magasság) / 50)** képpont \| \`0x0045c509\` (min=12), \`0x0045c514\` (a…
0x0045c51d	konstans	picasa-export-mappaba.md	1. Az export VÍZJELE — pontos paraméterek (2026-08-27, pontosítva 2026-09-01)	12	\| **betűméret** \| **max(12, max(szélesség, magasság) / 50)** képpont \| \`0x0045c509\` (min=12), \`0x0045c514\` (a…
0x0045c52a	?	picasa-export-mappaba.md	1. Az export VÍZJELE — pontos paraméterek (2026-08-27, pontosítva 2026-09-01)	15	\| **méretezés** \| **1,0** \| \`0x0045c52a\` (\`fld1\`) \|
0x0045c530	?	picasa-export-mappaba.md	1. Az export VÍZJELE — pontos paraméterek (2026-08-27, pontosítva 2026-09-01)	14	\| **vastagság** \| **600** (félkövér) \| \`0x0045c530\` (\`utasítás eax, 0x258\`) \|
0x0045c535	?	picasa-export-mappaba.md	1. Az export VÍZJELE — pontos paraméterek (2026-08-27, pontosítva 2026-09-01)	13	\| **betűcsalád** \| **Arial** \| \`0x0045c535\` \|
0x0045c563	?	picasa-export-mappaba.md	1. Az export VÍZJELE — pontos paraméterek (2026-08-27, pontosítva 2026-09-01)	16	\| **margó** \| **= a betűméret**, mind a négy oldalon \| \`0x0045c563\`/\`0x0045c565\`, \`0x0045c58b\`–\`0x0045c593\…
0x0045c565	?	picasa-export-mappaba.md	1. Az export VÍZJELE — pontos paraméterek (2026-08-27, pontosítva 2026-09-01)	16	\| **margó** \| **= a betűméret**, mind a négy oldalon \| \`0x0045c563\`/\`0x0045c565\`, \`0x0045c58b\`–\`0x0045c593\…
0x0045c58b	?	picasa-export-mappaba.md	1. Az export VÍZJELE — pontos paraméterek (2026-08-27, pontosítva 2026-09-01)	16	\| **margó** \| **= a betűméret**, mind a négy oldalon \| \`0x0045c563\`/\`0x0045c565\`, \`0x0045c58b\`–\`0x0045c593\…
0x0045c593	?	picasa-export-mappaba.md	1. Az export VÍZJELE — pontos paraméterek (2026-08-27, pontosítva 2026-09-01)	16	\| **margó** \| **= a betűméret**, mind a négy oldalon \| \`0x0045c563\`/\`0x0045c565\`, \`0x0045c58b\`–\`0x0045c593\…
0x0045c627	?	picasa-export-mappaba.md	1. Az export VÍZJELE — pontos paraméterek (2026-08-27, pontosítva 2026-09-01)	18	\| szín \| átlátszatlan fehér — **erős**, nem megerősített \| \`0x0045c627\` (\`0xFFFFFFFF\`) \|
0x0045cbdc	?	picasa-tartalomkulcs.md	26. Ki állítja elő — a TELJES hívási lánc, kimerítően	498	\`0x0045cbdc\`, \`0x00464f05\`, \`0x00478336\`, \`0x0054114a\`, \`0x006bf6a7\`,
0x0045cbdc	függvény	picasa-tartalomkulcs.md	33. 4. A `FUN_004353a0` ÁLTALÁNOS szolgáltatás — azt hasheli, amit kap	621	\| \`0x0045cbdc\` \| \`FUN_0045c870\` \| \`Picasa\`, \`%016I64x\` \|
0x0045cbdc	függvény	picasa-tartalomkulcs.md	99. 1. A hasher mind a tíz hívási helyen VEREM-IDEIGLENESBE ír	1643	\| \`0x0045cbdc\` \| \`FUN_0045c870\` \| ideiglenes, \`esp+0x24\` \|
0x0045cbdc	?	picasa-tartalomkulcs.md	99. 1. A hasher mind a tíz hívási helyen VEREM-IDEIGLENESBE ír	1662	\`0x0045cbdc\`, a \`0x007e4aac\` és a \`0x0087f3d4\` után a
0x0045cbdc	adat	picasa-tartalomkulcs.md	115. 4. A bináris oldal — a TERMELŐ megvan	1941	0x0045cbdc utasítás 0x004353a0 ; mindkét kulcs kiszámítása (a burkolón át)
0x0045cbe5	adat	picasa-tartalomkulcs.md	115. 4. A bináris oldal — a TERMELŐ megvan	1942	0x0045cbe5 utasítás edx, [esp+0x24] ; a GYORS kulcs két fele
0x0045cbe9	?	picasa-tartalomkulcs.md	115. 4. A bináris oldal — a TERMELŐ megvan	1943	0x0045cbe9 utasítás eax, [esp+0x20]
0x0045cbef	?	picasa-tartalomkulcs.md	115. 4. A bináris oldal — a TERMELŐ megvan	1944	0x0045cbef utasítás 0x00c80ce4 ; '%016I64x'
0x0045cbfc	?	picasa-tartalomkulcs.md	115. 4. A bináris oldal — a TERMELŐ megvan	1945	0x0045cbfc utasítás 0x0040eab0 ; FORMÁZ → az első 16 hexa
0x0045cc01	adat	picasa-tartalomkulcs.md	115. 4. A bináris oldal — a TERMELŐ megvan	1946	0x0045cc01 utasítás ecx, [esp+0x28] ; a LASSÚ kulcs két fele
0x0045cc05	?	picasa-tartalomkulcs.md	115. 4. A bináris oldal — a TERMELŐ megvan	1947	0x0045cc05 utasítás edx, [esp+0x24]
0x0045cc0e	?	picasa-tartalomkulcs.md	115. 4. A bináris oldal — a TERMELŐ megvan	1948	0x0045cc0e utasítás 0x00c80ce4 ; '%016I64x'
0x0045cc15	?	picasa-tartalomkulcs.md	115. 4. A bináris oldal — a TERMELŐ megvan	1949	0x0045cc15 utasítás 0x0040ea90 ; HOZZÁFŰZ → a második 16 hexa
0x0045cc29	?	picasa-tartalomkulcs.md	115. 4. A bináris oldal — a TERMELŐ megvan	1950	0x0045cc29 utasítás 0x0049c640 ; a tulajdonság-táska beszúrása
0x0045d5d6	?	biztonsagi-mentes.md	40. 13.4 A `files.txt` BEOLVASÁSA — `PicasaRestore.exe`	1004	\`sscanf(sor+3, "%x,%x,%x,%x", …)\` (\`0x0040f925\` → \`0x0045d5d6\`), és csak akkor
0x004602d0	?	ui-audit-editor.md	116. ⭐ MIT CSINÁL a négy `movieeditpanel` gomb (2026-09-06, #2529)	2933	\| 4 \| \`video_control_bar/setin\` \| \`0x0059555d\` \| a **\`moviestart\`** token írása (\`0x00c813e4\` → \`0x00460…
0x004613d1	függvény	picasa-ini-format.md	138. 3. A növekményes út ugyanezt a sorrendet követi	3817	mérve), és a kettőt együtt hívó három helyen (\`0x004613d1\`+\`0x00461419\`,
0x00461419	függvény	picasa-ini-format.md	138. 3. A növekményes út ugyanezt a sorrendet követi	3817	mérve), és a kettőt együtt hívó három helyen (\`0x004613d1\`+\`0x00461419\`,
0x00463270	?	picasa-ini-format.md	25. Az ini → rekord olvasót csak SZERKESZTÉS/MENTÉS hívja	1126	Az ini-szakaszt rekordba olvasó rutin (\`0x00463270\`) mind a **48 kulcsot**
0x00463fd0	?	filters-decoded.md	152. 2. A bináris: a lánc-szerializáló LITERÁLKÉNT tartalmazza őket	4324	A \`0x00463fd0\` (2 495 bájt) a \`filters=\` lánc szerializálója.
0x00463fd0	?	picasa-imagedata-rekord.md	18. A `filters=` lánc sorosítója — `0x00463fd0`	447	## A \`filters=\` lánc sorosítója — \`0x00463fd0\`
0x00463fd0	?	picasa-menu-parancsok-viselkedes.md	309. Nyitott kérdések mérlege (64.)	4945	\`binary-index/README\` szerint a sorosítójuk a \`0x00463fd0\`.
0x0046470a	?	picasa-ini-format.md	96. A vágópont 64 bites, `%I64x` alakban — a skála eldőlt (2026-08-16)	3055	0x0046470a utasítás 0xc81978 ; "moviestart="
0x00464710	?	picasa-ini-format.md	96. A vágópont 64 bites, `%I64x` alakban — a skála eldőlt (2026-08-16)	3056	0x00464710 utasítás 0xc07f40 ; strstr(lánc, "moviestart=")
0x0046471e	adat	picasa-ini-format.md	96. A vágópont 64 bites, `%I64x` alakban — a skála eldőlt (2026-08-16)	3057	0x0046471e utasítás edx, [esi + 0xb] ; +11 = a "moviestart=" hossza → az érték
0x00464742	?	picasa-ini-format.md	96. A vágópont 64 bites, `%I64x` alakban — a skála eldőlt (2026-08-16)	3058	0x00464742 utasítás 0x985ff0 ; a részsztring másolása
0x0046474b	?	picasa-ini-format.md	96. A vágópont 64 bites, `%I64x` alakban — a skála eldőlt (2026-08-16)	3059	0x0046474b utasítás 0x49fb50 ; ← az ÉRTELMEZŐ
0x00464754	?	picasa-ini-format.md	96. A vágópont 64 bites, `%I64x` alakban — a skála eldőlt (2026-08-16)	3060	0x00464754 utasítás ebx, eax ; az eredmény ALSÓ 32 bitje
0x00464756	?	picasa-ini-format.md	96. A vágópont 64 bites, `%I64x` alakban — a skála eldőlt (2026-08-16)	3061	0x00464756 mov [esp+0x2c], edx ; az eredmény FELSŐ 32 bitje
0x00464766	?	picasa-ini-format.md	96. A vágópont 64 bites, `%I64x` alakban — a skála eldőlt (2026-08-16)	3090	0x00464766 utasítás dword ptr [esp+0x2c], 0 ; felső 32 bit
0x0046476b	?	picasa-ini-format.md	96. A vágópont 64 bites, `%I64x` alakban — a skála eldőlt (2026-08-16)	3091	0x0046476b ja 0x464775
0x0046476d	?	picasa-ini-format.md	96. A vágópont 64 bites, `%I64x` alakban — a skála eldőlt (2026-08-16)	3092	0x0046476d utasítás ebx, ebx ; alsó 32 bit
0x0046476f	?	picasa-ini-format.md	96. A vágópont 64 bites, `%I64x` alakban — a skála eldőlt (2026-08-16)	3093	0x0046476f jbe 0x4647fc ; nulla → ÁTUGRIK
0x00464775	?	picasa-ini-format.md	96. A vágópont 64 bites, `%I64x` alakban — a skála eldőlt (2026-08-16)	3091	0x0046476b ja 0x464775
0x004647fc	?	picasa-ini-format.md	96. A vágópont 64 bites, `%I64x` alakban — a skála eldőlt (2026-08-16)	3093	0x0046476f jbe 0x4647fc ; nulla → ÁTUGRIK
0x00464f05	?	picasa-tartalomkulcs.md	26. Ki állítja elő — a TELJES hívási lánc, kimerítően	498	\`0x0045cbdc\`, \`0x00464f05\`, \`0x00478336\`, \`0x0054114a\`, \`0x006bf6a7\`,
0x00464f05	függvény	picasa-tartalomkulcs.md	33. 4. A `FUN_004353a0` ÁLTALÁNOS szolgáltatás — azt hasheli, amit kap	622	\| \`0x00464f05\` \| \`FUN_00464990\` \| \`filters\`, \`.\yt\ytIO.cpp\` \|
0x00464f05	függvény	picasa-tartalomkulcs.md	99. 1. A hasher mind a tíz hívási helyen VEREM-IDEIGLENESBE ír	1644	\| \`0x00464f05\` \| \`FUN_00464990\` \| ideiglenes, \`esp+0x2c\` \|
0x00467090	?	picasa-ini-format.md	103. A mechanizmus	3198	\| a fájlidő kiolvasása \| \`GetFileTime(hFile, &létrehozás, **NULL**, &utolsó_írás)\` \| \`0x00467bdd\` (\`[0xc40474…
0x00467bdd	?	picasa-ini-format.md	103. A mechanizmus	3198	\| a fájlidő kiolvasása \| \`GetFileTime(hFile, &létrehozás, **NULL**, &utolsó_írás)\` \| \`0x00467bdd\` (\`[0xc40474…
0x00467ca0	konstans	00-index.md	41. Felület — KÖTELEZŐ méretspecifikációk	1744	\| [picasa-fo-ablak-elrendezes.md](picasa-fo-ablak-elrendezes.md) \| A fő ablak elrendezése — a forrásból; **és a MEG…
0x00467ca0	?	picasa-fo-ablak-elrendezes.md	15. Támogatott fájltípusok	290	2.
0x00467ca0	függvény	picasa-ini-format.md	25. Az ini → rekord olvasót csak SZERKESZTÉS/MENTÉS hívja	1128	adatbázis szinkron (\`0x00467ca0\`).
0x00467d1b	?	pmp-database.md	130. 11.4 Hol él a példány	3710	(\`0x00402fd3\`, \`0x00467d1b\`, \`0x0053ff35\`).
0x004680f9	konstans	picasa-ini-format.md	103. A mechanizmus	3199	\| a beolvasás \| az ini-feldolgozó (\`0x00456610\`) hívása **\`flags = 3\`** értékkel \| \`0x00468108\`, a \`push 3\…
0x00468108	konstans	picasa-ini-format.md	103. A mechanizmus	3199	\| a beolvasás \| az ini-feldolgozó (\`0x00456610\`) hívása **\`flags = 3\`** értékkel \| \`0x00468108\`, a \`push 3\…
0x0046860b	?	picasa-ini-format.md	138. 3. A növekményes út ugyanezt a sorrendet követi	3818	\`0x0046860b\`+\`0x00468641\`, \`0x0046e218\`+\`0x0046e252\`) a **tükrözés-kibocsátó
0x00468641	?	picasa-ini-format.md	138. 3. A növekményes út ugyanezt a sorrendet követi	3818	\`0x0046860b\`+\`0x00468641\`, \`0x0046e218\`+\`0x0046e252\`) a **tükrözés-kibocsátó
0x0046e218	?	picasa-ini-format.md	138. 3. A növekményes út ugyanezt a sorrendet követi	3818	\`0x0046860b\`+\`0x00468641\`, \`0x0046e218\`+\`0x0046e252\`) a **tükrözés-kibocsátó
0x0046e252	?	picasa-ini-format.md	138. 3. A növekményes út ugyanezt a sorrendet követi	3818	\`0x0046860b\`+\`0x00468641\`, \`0x0046e218\`+\`0x0046e252\`) a **tükrözés-kibocsátó
0x0046fa80	adat	biztonsagi-mentes.md	37. 13.1 Egy valódi mentőlemez tartalma	907	sztringtáblájában (offset \`0x46fa80\`, a \`/Volumes/Picasa CD\` szomszédságában),
0x004735c0	?	picasa-lebego-ertesito.md	6. Amit NEM sikerült megállapítani	123	\| \`SetTimer\` \| \`0x004735c0\`, \`0x008de1b0\` \|
0x004735c0	függvény	picasa-lebego-ertesito.md	20. Négy negatív — a notifier nem méri az időt, sehogy	382	\| Win32 időzítő a notifierben \| **nincs.** A teljes binárisban összesen három időzítő-hívó függvény van (\`SetTimer…
0x00473fd5	adat	00-index.md	27. [biztonsagi-mentes.md](biztonsagi-mentes.md) — ✅ nincs nyitott kérdés (2026-09-05: az utolsó blokkolt tétel lezárult)	918	⭐ **2026-09-05 (9.2) — A \`BKTag\` MÉGIS BEKERÜL A \`.picasa.ini\`-BE — de nem címkeként, hanem KULCS-ELŐTAGKÉNT (#44…
0x00473fd5	függvény	biztonsagi-mentes.md	15. 9.2 A KÉPRE tett bélyeg: `BKTag <készletnév>-backuphash` (2026-09-05)	311	\| átnevezéskor a RÉGI és az ÚJ kulcsnév is felépül \| \`0x00473fd5\` / \`0x0047402f\` (hívó: \`0x0067ae70\`) \|
0x00473fd5	?	picasa-ini-format.md	20. ⭐ A `<készletnév>-backuphash` — a MENTÉS-KÉSZLETENKÉNTI másodpéldány (2026-09-05, #440)	993	\| ugyanez az átnevezés két oldalára (régi és új név) \| \`0x00473fd5\` és \`0x0047402f\` \|
0x0047402f	adat	00-index.md	27. [biztonsagi-mentes.md](biztonsagi-mentes.md) — ✅ nincs nyitott kérdés (2026-09-05: az utolsó blokkolt tétel lezárult)	918	⭐ **2026-09-05 (9.2) — A \`BKTag\` MÉGIS BEKERÜL A \`.picasa.ini\`-BE — de nem címkeként, hanem KULCS-ELŐTAGKÉNT (#44…
0x0047402f	függvény	biztonsagi-mentes.md	15. 9.2 A KÉPRE tett bélyeg: `BKTag <készletnév>-backuphash` (2026-09-05)	311	\| átnevezéskor a RÉGI és az ÚJ kulcsnév is felépül \| \`0x00473fd5\` / \`0x0047402f\` (hívó: \`0x0067ae70\`) \|
0x0047402f	?	picasa-ini-format.md	20. ⭐ A `<készletnév>-backuphash` — a MENTÉS-KÉSZLETENKÉNTI másodpéldány (2026-09-05, #440)	993	\| ugyanez az átnevezés két oldalára (régi és új név) \| \`0x00473fd5\` és \`0x0047402f\` \|
0x00476a60	?	filters-decoded.md	35. A `Pixelate` Shift-párjának élő kattintási útja (#2456, 2026-09-18)	597	hívási útba megy (\`0x0057bb50\`, végül \`0x00476a60\`).
0x00476a60	konstans	ui-audit-editor.md	54. A `Pixelate` Shift-párjának élő kattintási útja (#2456, 2026-09-18)	1339	\| effekt-mód és frissítés \| \`0x005f85a0\`–\`0x005f85b3\`; \`0x0057bb50\` → \`0x00476a60\` \| \`effect = 4\`, majd…
0x00477ff0	adat	picasa-helyek-panel.md	1. 1. A `geotag=` kulcs alakja — HAT tizedesjegy, mindig	18	\| ini-kulcs \| \`geotag\` \| bináris \`0x00456610\`, \`0x00477ff0\`, \`0x007d55f0\`, \`0x007da570\` \|
0x0047820e	adat	00-index.md	32. [picasa-email-kuldes.md](picasa-email-kuldes.md) — 0 nyílt · 3 lezárva · 0 blokkolt (frissítve: 2026-09-05)	1283	⭐ **2026-09-05 (3/b szakasz) — a Beállítások E-mail fülének csúszkája: NYOLC fokozat, MÉRVE.** \`options/bind47.list\…
0x0047820e	?	picasa-email-kuldes.md	5. 3/b A Beállítások **E-mail** fülének teljes tartalma — LEZÁRVA (2026-09-05)	211	\`0x0047820e\`–\`0x0047829c\` tartományban **nem** sztringazonosító-betöltés.
0x0047829c	adat	00-index.md	32. [picasa-email-kuldes.md](picasa-email-kuldes.md) — 0 nyílt · 3 lezárva · 0 blokkolt (frissítve: 2026-09-05)	1283	⭐ **2026-09-05 (3/b szakasz) — a Beállítások E-mail fülének csúszkája: NYOLC fokozat, MÉRVE.** \`options/bind47.list\…
0x0047829c	?	picasa-email-kuldes.md	5. 3/b A Beállítások **E-mail** fülének teljes tartalma — LEZÁRVA (2026-09-05)	211	\`0x0047820e\`–\`0x0047829c\` tartományban **nem** sztringazonosító-betöltés.
0x00478336	?	picasa-tartalomkulcs.md	26. Ki állítja elő — a TELJES hívási lánc, kimerítően	498	\`0x0045cbdc\`, \`0x00464f05\`, \`0x00478336\`, \`0x0054114a\`, \`0x006bf6a7\`,
0x00478336	függvény	picasa-tartalomkulcs.md	33. 4. A `FUN_004353a0` ÁLTALÁNOS szolgáltatás — azt hasheli, amit kap	623	\| \`0x00478336\` \| \`FUN_00477ff0\` \| \`geotag\`, \`%lf,%lf\` \|
0x00478336	függvény	picasa-tartalomkulcs.md	47. 4. ⭐ A VALÓDI mechanizmus: TULAJDONSÁG-TÁRBA megy, nem mezőbe	869	\| \`geotag\` (\`FUN_00477ff0\`) \| \`0x00478336\` \| \`0x00478361\` \| \`0x0047836e utasítás 0x68\` → \`0x00478375\` \|
0x00478336	függvény	picasa-tartalomkulcs.md	99. 1. A hasher mind a tíz hívási helyen VEREM-IDEIGLENESBE ír	1645	\| \`0x00478336\` \| \`FUN_00477ff0\` (\`geotag\`) \| ideiglenes, \`esp+0x9c\` \|
0x00478336	?	picasa-tartalomkulcs.md	115. 4. A bináris oldal — a TERMELŐ megvan	1957	\`0x004563db\`, \`0x00478336\`) ezzel szemben **nem formáznak**: ott a
0x00478361	függvény	picasa-tartalomkulcs.md	47. 4. ⭐ A VALÓDI mechanizmus: TULAJDONSÁG-TÁRBA megy, nem mezőbe	869	\| \`geotag\` (\`FUN_00477ff0\`) \| \`0x00478336\` \| \`0x00478361\` \| \`0x0047836e utasítás 0x68\` → \`0x00478375\` \|
0x0047836e	függvény	picasa-tartalomkulcs.md	47. 4. ⭐ A VALÓDI mechanizmus: TULAJDONSÁG-TÁRBA megy, nem mezőbe	869	\| \`geotag\` (\`FUN_00477ff0\`) \| \`0x00478336\` \| \`0x00478361\` \| \`0x0047836e utasítás 0x68\` → \`0x00478375\` \|
0x0047836e	?	picasa-tartalomkulcs.md	51. 7. A KÖVETKEZŐ lépés, megnevezve	933	hét hely: \`0x004386c3\`, \`0x00456413\`, \`0x0047836e\`, \`0x005afb70\`,
0x00478375	függvény	picasa-tartalomkulcs.md	47. 4. ⭐ A VALÓDI mechanizmus: TULAJDONSÁG-TÁRBA megy, nem mezőbe	869	\| \`geotag\` (\`FUN_00477ff0\`) \| \`0x00478336\` \| \`0x00478361\` \| \`0x0047836e utasítás 0x68\` → \`0x00478375\` \|
0x0047ae90	?	picasa-menu-parancsok-viselkedes.md	23. 24. `ID_PASSPORT` — pontosan EGY arc	426	0x00531d8c utasítás 0x0047ae90 ; arcfelismerés
0x0047baf0	?	picasa-arcfelismeres.md	39. 15.3 MIT CSINÁLNAK — a három adat-válasz	995	0x0060295b utasítás 0x0047baf0 ; a keresés indítása ezzel az értékkel
0x0047baf0	?	picasa-arcfelismeres.md	81. 18.2 A jóváhagyás útja a tárolóig	1729	0x0060272d utasítás 0x005c6500 -> 0x0047bf40 -> 0x0047baf0 ; újrakeresés
0x0047bf40	?	picasa-arcfelismeres.md	81. 18.2 A jóváhagyás útja a tárolóig	1729	0x0060272d utasítás 0x005c6500 -> 0x0047bf40 -> 0x0047baf0 ; újrakeresés
0x0047bfd0	adat	picasa-menu-parancsok-viselkedes.md	69. 34.4 Az arcok alaphelyzetbe állítása — HÁROM ág módosító-gomb szerint	1241	\| **sima kattintás** \| \`0x0057daa0\` \| a **kijelölés** arc-téglalapjait törli (\`faces=\` kulcs, \`0x448560\`/\`0…
0x0047c247	?	picasa-imagedata-rekord.md	10. ✅ A `facerect` ÍRÓJA és a `0`/`1`/`rect64` háromfelé ágazás (2026-09-06, #2515)	259	**mind valódi**.
0x0047c323	?	picasa-imagedata-rekord.md	10. ✅ A `facerect` ÍRÓJA és a `0`/`1`/`rect64` háromfelé ágazás (2026-09-06, #2515)	260	\`0x0047c323\`) is a \`facerect\` oszlopot **zárolja** — csak utána a gazda egy
0x0047c3f0	adat	pmp-database.md	33. MIKOR lesz 1 — fájl-létezés, nem kollázs-mentés	1244	0x00561329 utasítás 0x47c3f0(tábla, sor, &útvonal) ; << az album kollázs-útvonala
0x0047c3f0	?	pmp-database.md	33. MIKOR lesz 1 — fájl-létezés, nem kollázs-mentés	1255	Az útvonalat a **\`0x0047c3f0\`** (365 b) építi, és a fájlnév mindkét ágán
0x0047c52b	?	pmp-database.md	33. MIKOR lesz 1 — fájl-létezés, nem kollázs-mentés	1259	0x0047c52b utasítás edx, 0xc81b38 ; "PicasaCollage"
0x0047c530	?	pmp-database.md	33. MIKOR lesz 1 — fájl-létezés, nem kollázs-mentés	1260	0x0047c530 utasítás 0x69d7f0 ; utvonal-osszefuzes
0x0047c535	?	pmp-database.md	33. MIKOR lesz 1 — fájl-létezés, nem kollázs-mentés	1261	0x0047c535 utasítás eax, 0xc81b30 ; ".cxf"
0x0047c53c	?	pmp-database.md	33. MIKOR lesz 1 — fájl-létezés, nem kollázs-mentés	1262	0x0047c53c utasítás 0x9a3620 ; a kiterjesztes ellenorzese
0x0047c546	?	pmp-database.md	33. MIKOR lesz 1 — fájl-létezés, nem kollázs-mentés	1263	0x0047c546 utasítás 0x9a3930 ; ha hianyzik, hozzafuzes
0x0047ca60	?	picasa-gyorsbillentyuk.md	30. 10.3 A teljes kiosztás — mind a 34 ág	815	\| \`Ctrl+Shift+U\` \| \`0x005e6557\` \| \`0x0047ca60([panel+0x2bc])\` \|
0x0047cea0	?	picasa-mappakezelo.md	66. 15.3 Mi történik jóváhagyás után — a teljes lánc	2099	0x005ceda3 utasítás 0x0047cea0 … ; iPhoto / Apple Photos ágak (Mac)
0x0047ceac	?	biztonsagi-mentes.md	40. 13.4 A `files.txt` BEOLVASÁSA — `PicasaRestore.exe`	1033	2.
0x0047cf1c	adat	biztonsagi-mentes.md	40. 13.4 A `files.txt` BEOLVASÁSA — `PicasaRestore.exe`	1012	- A \`PicasaRestore.exe\`-ben a \`"ft_abs,"\` sztring címére (\`0x0047cf1c\`)
0x0047d0e0	?	picasa-mappakezelo.md	28. 6.2 iPhoto / Apple Photos — külön ág	994	\`Preferences\iPhotoSupportEnabled\` (\`0x0047d0e0\`) és
0x0047d150	?	picasa-mappakezelo.md	28. 6.2 iPhoto / Apple Photos — külön ág	995	\`Preferences\ApplePhotosSupportEnabled\` (\`0x0047d150\`); a
0x0047d344	?	biztonsagi-mentes.md	40. 13.4 A `files.txt` BEOLVASÁSA — `PicasaRestore.exe`	1032	(\`0x0047d35c\`, \`0x0047d344\`), az eredmény a \`0x00499b84\` gyorsítóban;
0x0047d35c	?	biztonsagi-mentes.md	40. 13.4 A `files.txt` BEOLVASÁSA — `PicasaRestore.exe`	1032	(\`0x0047d35c\`, \`0x0047d344\`), az eredmény a \`0x00499b84\` gyorsítóban;
0x00480dcf	?	picasa-imagedata-rekord.md	14. ⭐ AZ ÍRÓ: `FUN_00480040`	349	0x00480dcf utasítás edi, [eax + ecx*8] ; alsó
